leadtime,shortage,setup,lostsales,CV,horizon,ADI,policy,mu_dist_bounds,avg_cost,MC_std,train_time_s,forecast_id,agent_id
2,75.0,80,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-3589.001501343296,77.91626822283376,3198.438102323,1,25
2,75.0,80,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4768.450862205739,189.1814714070157,3198.438102323,2,25
2,75.0,80,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6518.880835210528,394.02290027559144,3198.438102323,3,25
2,75.0,80,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4754.003970846428,223.42811535861077,3198.438102323,4,25
2,75.0,80,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4764.44834487142,250.40904004396324,3198.438102323,5,25
2,75.0,80,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4844.970139742613,278.5103885128378,3198.438102323,6,25
2,75.0,80,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4435.571078767371,161.53055587543258,3198.438102323,7,25
2,75.0,80,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-5669.656038398621,356.91818026534094,3198.438102323,8,25
2,25.0,80,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-3177.8575580932015,64.47818112993431,3301.630771506,1,9
2,25.0,80,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4369.127105622182,117.91979101319534,3301.630771506,2,9
2,25.0,80,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-5739.5666919001005,191.04541727714658,3301.630771506,3,9
2,25.0,80,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4369.5260740370495,130.925851955845,3301.630771506,4,9
2,25.0,80,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4363.547939131266,149.4921846398495,3301.630771506,5,9
2,25.0,80,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4364.409295572401,144.76574142270974,3301.630771506,6,9
2,25.0,80,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4090.9413882256003,106.76896854647109,3301.630771506,7,9
2,25.0,80,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-4822.324024199128,158.87289699748735,3301.630771506,8,9
8,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6318.881632372406,117.32461531828977,3582.445578465,1,1
8,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8888.168720499694,242.53542109058017,3582.445578465,2,1
8,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-12970.904038327406,664.1637882603546,3582.445578465,3,1
8,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9040.521417604194,381.2536926643589,3582.445578465,4,1
8,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9336.053747932772,403.65661325592214,3582.445578465,5,1
8,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9800.355808510905,549.8595205943031,3582.445578465,6,1
8,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8262.038040630317,275.64989681654293,3582.445578465,7,1
8,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10861.377911458898,628.5340186516346,3582.445578465,8,1
8,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6512.264031560149,143.16731879626434,3608.953362063,1,17
8,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9309.9793496806,357.97531196437075,3608.953362063,2,17
8,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-14636.880712360473,773.4660552567409,3608.953362063,3,17
8,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9793.07183511557,617.1419815051223,3608.953362063,4,17
8,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10674.078336696899,722.7952814799212,3608.953362063,5,17
8,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-11456.783308511274,688.448601914173,3608.953362063,6,17
8,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8624.589461137004,271.68784514070256,3608.953362063,7,17
8,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-12289.524142074235,718.7393591611882,3608.953362063,8,17
2,75.0,1280,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-13073.671640855073,546.8924475551975,3021.957707292,1,26
2,75.0,1280,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-17878.992382235716,461.68567370355856,3021.957707292,2,26
2,75.0,1280,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-22937.5452847509,681.144733624887,3021.957707292,3,26
2,75.0,1280,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-17854.871063409373,566.5937138347961,3021.957707292,4,26
2,75.0,1280,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-17800.55948660845,578.4744259167816,3021.957707292,5,26
2,75.0,1280,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-17094.108289879656,485.3081092014898,3021.957707292,6,26
2,75.0,1280,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-16570.781661260113,651.1856225357027,3021.957707292,7,26
2,75.0,1280,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-19143.15231756303,508.48134859111224,3021.957707292,8,26
2,25.0,1280,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-12672.134141625316,592.9810973037122,3427.768390124,1,10
2,25.0,1280,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-17352.896910412488,384.8374869305411,3427.768390124,2,10
2,25.0,1280,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-21775.442386924256,428.0154141112584,3427.768390124,3,10
2,25.0,1280,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-17200.834634025774,522.9542196793051,3427.768390124,4,10
2,25.0,1280,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-16971.142405575414,592.4251800991043,3427.768390124,5,10
2,25.0,1280,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-16538.64068896166,227.83253060588027,3427.768390124,6,10
2,25.0,1280,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-15984.969735365115,580.9277116361567,3427.768390124,7,10
2,25.0,1280,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-18234.205496953593,288.3467713663159,3427.768390124,8,10
4,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6491.590967951965,157.70168000103388,3276.334858173,1,18
4,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8945.777689430528,313.40870966658474,3276.334858173,2,18
4,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-12508.40143208316,607.7928128618111,3276.334858173,3,18
4,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9038.704623940072,385.3814075807626,3276.334858173,4,18
4,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9198.586252381769,434.1210390162851,3276.334858173,5,18
4,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9454.888682945228,494.18426138433284,3276.334858173,6,18
4,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8298.273292518497,253.79643808424936,3276.334858173,7,18
4,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10711.382280758658,538.7301200585151,3276.334858173,8,18
4,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6200.845367366296,169.1720740433328,3330.316867507,1,2
4,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8578.974988726543,199.03922235644322,3330.316867507,2,2
4,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-11319.974048839807,363.9217635213127,3330.316867507,3,2
4,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8584.45216260014,221.16925318237563,3330.316867507,4,2
4,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8566.590934676244,240.89149414170691,3330.316867507,5,2
4,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8596.932683702298,259.92843192818407,3330.316867507,6,2
4,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-7983.887936776904,184.12654431609278,3330.316867507,7,2
4,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9475.233194532548,333.0371142994214,3330.316867507,8,2
2,75.0,320,true,0.1,32,false,sSPolicy,"(0.0, 20.0)",-6292.680210413868,130.8634175771417,3131.242884244,1,27
2,75.0,320,true,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8477.3026528303,177.45088722511434,3131.242884244,2,27
2,75.0,320,true,0.1,32,false,sSPolicy,"(0.0, 20.0)",-11218.095068404082,248.55513061749608,3131.242884244,3,27
2,75.0,320,true,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8537.439379255651,191.78468169074813,3131.242884244,4,27
2,75.0,320,true,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8544.388980569345,191.7556325811427,3131.242884244,5,27
2,75.0,320,true,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8599.902513771463,178.76599015141124,3131.242884244,6,27
2,75.0,320,true,0.1,32,false,sSPolicy,"(0.0, 20.0)",-7959.383260713952,94.15964331942999,3131.242884244,7,27
2,75.0,320,true,0.1,32,false,sSPolicy,"(0.0, 20.0)",-9597.840554512208,244.70121933393452,3131.242884244,8,27
2,25.0,320,false,0.1,32,false,sSPolicy,"(0.0, 20.0)",-6427.761919662129,125.24800911082674,2982.019881191,1,11
2,25.0,320,false,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8419.617140482282,144.91715375358777,2982.019881191,2,11
2,25.0,320,false,0.1,32,false,sSPolicy,"(0.0, 20.0)",-10532.84516142722,170.77645958558563,2982.019881191,3,11
2,25.0,320,false,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8362.371463474728,111.51883119485211,2982.019881191,4,11
2,25.0,320,false,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8367.562326237185,104.80227684085997,2982.019881191,5,11
2,25.0,320,false,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8317.004705800666,120.71074258661625,2982.019881191,6,11
2,25.0,320,false,0.1,32,false,sSPolicy,"(0.0, 20.0)",-7962.612601247072,97.58090060840739,2982.019881191,7,11
2,25.0,320,false,0.1,32,false,sSPolicy,"(0.0, 20.0)",-8992.667161225865,162.0940301547914,2982.019881191,8,11
1,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6638.356411942741,108.69985558579914,3152.811035011,1,3
1,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8525.83661097844,149.6660498396289,3152.811035011,2,3
1,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10488.480239697323,201.3955073387472,3152.811035011,3,3
1,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8511.785876702668,182.80792154925584,3152.811035011,4,3
1,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8398.692043137054,187.36217588067663,3152.811035011,5,3
1,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8358.989318237358,165.87041847490806,3152.811035011,6,3
1,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8071.093005670704,173.56710261159378,3152.811035011,7,3
1,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8990.95015380794,177.0099145999879,3152.811035011,8,3
1,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6648.4705968314365,151.75821203686763,3551.489755795,1,19
1,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8748.72313397891,204.4460897641721,3551.489755795,2,19
1,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-11121.091744941905,322.8631361788534,3551.489755795,3,19
1,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8740.444616432678,221.60011965571886,3551.489755795,4,19
1,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8717.48687397053,264.87601476499253,3551.489755795,5,19
1,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8671.624791562512,252.00826308152259,3551.489755795,6,19
1,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8290.805788016638,164.1347880104763,3551.489755795,7,19
1,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9491.843729326147,306.0672143591191,3551.489755795,8,19
2,75.0,320,true,0.3,32,false,sSPolicy,"(0.0, 20.0)",-6694.025368728958,179.40962632231899,3276.494037677,1,28
2,75.0,320,true,0.3,32,false,sSPolicy,"(0.0, 20.0)",-9111.142446461261,341.81165563803256,3276.494037677,2,28
2,75.0,320,true,0.3,32,false,sSPolicy,"(0.0, 20.0)",-12040.062223646366,634.7831052136396,3276.494037677,3,28
2,75.0,320,true,0.3,32,false,sSPolicy,"(0.0, 20.0)",-9084.107538201679,392.65271056960273,3276.494037677,4,28
2,75.0,320,true,0.3,32,false,sSPolicy,"(0.0, 20.0)",-9059.807919317898,423.688793924481,3276.494037677,5,28
2,75.0,320,true,0.3,32,false,sSPolicy,"(0.0, 20.0)",-9099.356531685828,475.5701535703568,3276.494037677,6,28
2,75.0,320,true,0.3,32,false,sSPolicy,"(0.0, 20.0)",-8502.804717540736,293.43548907508455,3276.494037677,7,28
2,75.0,320,true,0.3,32,false,sSPolicy,"(0.0, 20.0)",-10215.988261641438,587.7095633050935,3276.494037677,8,28
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-6450.40335706006,185.76509782394277,2974.325584932,1,12
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-8669.700983661956,226.076742302856,2974.325584932,2,12
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-11022.879904502317,347.1947358164809,2974.325584932,3,12
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-8647.784057737434,249.0254461835728,2974.325584932,4,12
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-8596.440822748804,252.5965479843101,2974.325584932,5,12
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-8538.059093312952,267.34692834620364,2974.325584932,6,12
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-8136.377493151719,215.8953668820354,2974.325584932,7,12
2,25.0,320,false,0.3,32,false,sSPolicy,"(0.0, 20.0)",-9293.604800751986,285.5451733099839,2974.325584932,8,12
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6464.049798569782,122.97542238458891,3169.395372961,1,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8413.958223395031,153.16455927005484,3169.395372961,2,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10361.424030665545,201.1064379311995,3169.395372961,3,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8396.724949495645,154.50839202451445,3169.395372961,4,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8346.242407011174,170.13692673967722,3169.395372961,5,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8294.319193456646,184.04079199420573,3169.395372961,6,4
0,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8018.923847993222,149.82804523331848,3169.395372961,7,4
