lostsales,first_var,var_discount,avg_cost,MC_std,train_time_s,forecast_id,agent_id
true,0.1,0.7,-6654.4993519915215,494.83432875405816,1711.472680166,1,1
true,0.1,0.7,-9634.162201906714,913.1011513779413,1711.472680166,2,1
true,0.1,0.7,-13079.889129583045,1514.880866179289,1711.472680166,3,1
true,0.1,0.7,-9631.794410750901,979.7459662287642,1711.472680166,4,1
true,0.1,0.7,-9702.264967650692,1095.2618976736842,1711.472680166,5,1
true,0.1,0.7,-9716.740144869986,1004.8814254992539,1711.472680166,6,1
true,0.1,0.7,-8980.834791030904,902.3619762261503,1711.472680166,7,1
true,0.1,0.7,-10837.822982109481,1222.467294936175,1711.472680166,8,1
false,0.05,0.9,-6511.687049994437,371.8043706538086,1743.377579107,1,16
false,0.05,0.9,-8723.233386160107,578.1335645357955,1743.377579107,2,16
false,0.05,0.9,-11030.50564917244,754.8403082303086,1743.377579107,3,16
false,0.05,0.9,-8717.313480933062,629.839691493321,1743.377579107,4,16
false,0.05,0.9,-8695.913005509987,835.3787885458217,1743.377579107,5,16
false,0.05,0.9,-8597.650462965825,607.7487083112777,1743.377579107,6,16
false,0.05,0.9,-8202.41594752003,550.6304009607422,1743.377579107,7,16
false,0.05,0.9,-9362.391269208098,641.8411916707917,1743.377579107,8,16
false,0.1,0.7,-6501.954598639981,351.07828345984797,1525.05199891,1,2
false,0.1,0.7,-8949.728871909643,558.6739740154957,1525.05199891,2,2
false,0.1,0.7,-11557.859448812027,834.4678767445564,1525.05199891,3,2
false,0.1,0.7,-8916.547944460355,602.9914951539131,1525.05199891,4,2
false,0.1,0.7,-8924.22720539961,654.3848226638285,1525.05199891,5,2
false,0.1,0.7,-8876.290288386012,632.655151281957,1525.05199891,6,2
false,0.1,0.7,-8363.433908916297,518.4382102875929,1525.05199891,7,2
false,0.1,0.7,-9605.940459506885,650.2626218785246,1525.05199891,8,2
true,0.03,0.9,-6460.212763586621,336.0521934442078,1553.782089488,1,17
true,0.03,0.9,-9047.835626735927,575.7527504443906,1553.782089488,2,17
true,0.03,0.9,-12196.727162257357,912.2189377687938,1553.782089488,3,17
true,0.03,0.9,-9044.704156433758,624.1036833424722,1553.782089488,4,17
true,0.03,0.9,-9078.987785470898,682.3841341971084,1553.782089488,5,17
true,0.03,0.9,-9091.26154869725,637.3475031577027,1553.782089488,6,17
true,0.03,0.9,-8414.381943193179,507.47319000996447,1553.782089488,7,17
true,0.03,0.9,-10166.180008444022,719.2542370284871,1553.782089488,8,17
true,0.05,0.7,-6624.5519637925945,264.7689306885464,1505.855954913,1,3
true,0.05,0.7,-9195.50266635694,476.9796862319554,1505.855954913,2,3
true,0.05,0.7,-12243.523830361153,746.9897513611777,1505.855954913,3,3
true,0.05,0.7,-9179.349769992217,507.4706532498963,1505.855954913,4,3
true,0.05,0.7,-9140.651225719492,573.649932632953,1505.855954913,5,3
true,0.05,0.7,-9167.442515353325,544.3457930996636,1505.855954913,6,3
true,0.05,0.7,-8552.974418901547,398.9843867175616,1505.855954913,7,3
true,0.05,0.7,-10269.548610836613,638.1349098744604,1505.855954913,8,3
false,0.03,0.9,-6420.013519847416,280.038377072762,1556.134279567,1,18
false,0.03,0.9,-8603.695163879238,401.8361544634189,1556.134279567,2,18
false,0.03,0.9,-10903.152751095691,536.3001173473884,1556.134279567,3,18
false,0.03,0.9,-8553.637872623232,410.6658094618657,1556.134279567,4,18
false,0.03,0.9,-8524.742334894649,417.4149195873999,1556.134279567,5,18
false,0.03,0.9,-8497.67666426768,415.385847239366,1556.134279567,6,18
false,0.03,0.9,-8044.244987477982,363.39880638712253,1556.134279567,7,18
false,0.03,0.9,-9208.654091508357,419.9817409885917,1556.134279567,8,18
false,0.05,0.7,-6391.56576542661,256.27377459831126,1497.548716377,1,4
