leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,opt_cost,opt_MC_std,solve_time_s
8,25.0,320,false,0.2,32,1,6048.706431187361,185.68296626164332,0.0027194715
4,25.0,320,false,0.2,32,1,6004.34939544812,190.45600575715585,0.002781611900000001
1,25.0,320,false,0.2,32,1,5917.920020622449,102.06266376674601,0.0035504409
0,25.0,320,false,0.2,32,1,6017.627131804828,87.05932900401388,0.0047125028000000015
2,10.0,320,false,0.2,32,1,5704.146758986705,105.00736709730855,0.004052865100000001
2,25.0,320,false,0.2,32,1,5905.486811955358,127.18957285295023,0.005498654699999996
2,50.0,320,false,0.2,32,1,6019.174351291698,123.10622430814942,0.0029385195999999986
2,25.0,0,false,0.2,32,1,415.0764879556829,63.19584592050669,4.67398e-5
2,25.0,80,false,0.2,32,1,2997.8609784438927,75.13481911891478,0.0026604334000000004
2,25.0,1280,false,0.2,32,1,12859.277392109425,117.0715565820697,0.0079355082
2,25.0,320,false,0.1,32,1,5921.038823680551,123.72156563755505,0.0027875113
2,25.0,320,false,0.3,32,1,5999.105913938299,140.15953338987183,0.0031678504000000004
2,25.0,320,false,0.2,32,1,5908.52383244127,132.0088435160329,0.0034467965
2,25.0,320,false,0.2,16,1,6067.155492296279,121.73327000401402,0.003079515299999998
2,25.0,320,false,0.2,8,1,7101.354320945862,141.73888187554405,0.0030640800999999994
2,25.0,320,false,0.2,4,1,13170.81114315817,408.10570166275704,0.0006025343999999999
8,75.0,320,true,0.2,32,1,6225.155250414346,220.4932279033456,0.005169017900000004
4,75.0,320,true,0.2,32,1,6161.0265171584415,200.7838572901424,0.0036560694000000015
1,75.0,320,true,0.2,32,1,6137.697334283405,157.94342956589375,0.0028282371
0,75.0,320,true,0.2,32,1,6161.577023075755,120.06211968031153,0.0036205528000000002
2,50.0,320,true,0.2,32,1,6025.4390142076545,123.24947438615932,0.003668607900000001
2,75.0,320,true,0.2,32,1,6072.4497254905655,153.85399965913584,0.003773136600000001
2,100.0,320,true,0.2,32,1,6112.170328591141,165.81568603312107,0.0037346676000000007
2,75.0,0,true,0.2,32,1,474.20168205941536,59.4236312242219,4.6210499999999994e-5
2,75.0,80,true,0.2,32,1,3142.9449883201873,143.79226231884223,0.0047820798
2,75.0,1280,true,0.2,32,1,13239.54807097393,183.56208503210624,0.006811567999999999
2,75.0,320,true,0.1,32,1,6034.0390572507995,135.55096335469477,0.0010222832999999996
2,75.0,320,true,0.3,32,1,6223.363909575926,209.42131505357992,0.005900848500000001
2,75.0,320,true,0.2,32,1,6073.81415284252,154.6293641962128,0.0025685727
2,75.0,320,true,0.2,16,1,6242.663810020498,184.90078437597222,0.0038766249
2,75.0,320,true,0.2,8,1,7137.140708579573,189.0119031548619,0.0006622446000000001
2,75.0,320,true,0.2,4,1,15712.828141273476,417.83419495724945,0.0005774328
