lostsales,first_var,var_discount,forecast_id,simple_cost,simple_MC_std,solve_time_simple_s
true,0.1,0.7,1,6551.74123757519,335.0226720924388,0.000328112529
true,0.1,0.7,2,9730.917484743704,645.5677206328858,4.5181275e-5
true,0.1,0.7,3,12948.339959645864,1054.734898823232,4.9267971000000004e-5
true,0.1,0.7,4,9728.257472105945,750.5597688277657,5.6195227e-5
true,0.1,0.7,5,9826.516087717595,746.6597985418842,5.6467300999999997e-5
true,0.1,0.7,6,9943.63405766744,854.3363759514218,5.7487365999999995e-5
true,0.1,0.7,7,9027.858596216965,526.5067447926219,5.8067064e-5
true,0.1,0.7,8,10835.02897214786,884.2171345117913,6.1090655e-5
false,0.1,0.7,1,6418.284625674679,259.50768519321116,5.9431912e-5
false,0.1,0.7,2,9368.294098769593,372.9607382407139,5.929928e-5
false,0.1,0.7,3,11855.128915915388,536.9748670529891,5.635514e-5
false,0.1,0.7,4,9298.878364489961,413.47243024527745,5.7165700999999997e-5
false,0.1,0.7,5,9379.753836586786,437.10895438807506,5.857826e-5
false,0.1,0.7,6,9360.189618045328,453.04348360143825,5.7936101e-5
false,0.1,0.7,7,8749.625874490817,360.48223283614414,5.8245276e-5
false,0.1,0.7,8,9961.796425577411,442.0570566933732,5.8119774e-5
true,0.05,0.7,1,6455.0557398483625,195.43708202919413,5.9698726e-5
true,0.05,0.7,2,9475.536048045517,334.32461668432325,5.7239072e-5
true,0.05,0.7,3,12454.259902346792,581.635400209575,5.8640281e-5
true,0.05,0.7,4,9410.698632971082,368.9124478124745,5.8750853e-5
true,0.05,0.7,5,9508.160392488051,377.64132310452567,5.857108e-5
true,0.05,0.7,6,9581.743570141743,429.8779907180069,5.7025449e-5
true,0.05,0.7,7,8812.402781728237,282.628660743292,5.7156950999999994e-5
true,0.05,0.7,8,10522.830145684007,522.2164639413213,5.6707295e-5
false,0.05,0.7,1,6354.9490152248645,169.45631084605517,5.7970672e-5
false,0.05,0.7,2,9196.865214423337,256.0830519402515,5.6294218e-5
false,0.05,0.7,3,11633.004002366219,344.04164570742506,5.7395044e-5
false,0.05,0.7,4,9121.214952080829,251.47042755059132,5.8401178e-5
false,0.05,0.7,5,9197.291004869085,267.9074211451804,5.8082454e-5
false,0.05,0.7,6,9187.530258965317,295.2119134665738,6.0235673e-5
false,0.05,0.7,7,8638.963112650128,226.32068526283933,5.9006806e-5
false,0.05,0.7,8,9787.799694695119,304.0164896025566,5.9448172e-5
true,0.03,0.7,1,6419.1379988376975,138.76234375779572,5.9939429000000003e-5
true,0.03,0.7,2,9404.962392589858,264.118574901236,6.0582968e-5
true,0.03,0.7,3,12331.902096380083,461.45766942246485,5.6596583e-5
true,0.03,0.7,4,9339.35376300605,289.3649151705497,4.4462845e-5
true,0.03,0.7,5,9430.953047184305,303.3084702151841,5.0790733e-5
true,0.03,0.7,6,9486.419629958813,353.506637398194,4.9135890000000004e-5
true,0.03,0.7,7,8765.824394489207,214.90131275106705,5.3284877e-5
true,0.03,0.7,8,10439.238418157509,446.09078306845413,6.0367256e-5
false,0.03,0.7,1,6334.2407773563855,131.9256816990808,5.8787814e-5
false,0.03,0.7,2,9159.517113828635,201.5401021729364,5.7046059000000004e-5
false,0.03,0.7,3,11557.692820934913,270.56812013025706,5.9973949999999995e-5
false,0.03,0.7,4,9054.23708742385,204.41260726875862,5.6594813e-5
false,0.03,0.7,5,9127.806387241282,211.03189531007953,6.000071e-5
false,0.03,0.7,6,9116.555766227462,255.41769402185824,6.0622409e-5
false,0.03,0.7,7,8582.645953491265,188.17715761614863,6.0417765999999996e-5
false,0.03,0.7,8,9747.201254483025,245.3982074655618,5.9958469e-5
true,0.1,0.8,1,6645.235747210284,449.69973891444437,6.1224937e-5
true,0.1,0.8,2,9940.834179727455,835.4087183139234,5.9382992e-5
true,0.1,0.8,3,13156.267283626592,1349.0110025993915,6.0256194e-5
true,0.1,0.8,4,9881.830661240258,972.7422481317011,5.9705046e-5
true,0.1,0.8,5,9962.397589723592,963.4687691552218,5.8296716e-5
true,0.1,0.8,6,10069.38679247371,984.0918360118958,5.8691192e-5
true,0.1,0.8,7,9206.804109776502,711.4739605604184,5.8240036e-5
true,0.1,0.8,8,10971.614773980598,978.3261995472344,5.7369334e-5
false,0.1,0.8,1,6476.9907885967705,353.1139613731348,5.7756548999999996e-5
false,0.1,0.8,2,9473.42230352318,524.5420962771992,5.8070873e-5
false,0.1,0.8,3,12078.849280799568,719.3005234432605,5.707632e-5
false,0.1,0.8,4,9346.353354783221,520.4511788660895,5.7513436e-5
false,0.1,0.8,5,9429.909377741065,546.6915126955736,5.6866867e-5
false,0.1,0.8,6,9459.414916708936,572.0640891606172,5.7894261000000006e-5
false,0.1,0.8,7,8864.894051545905,494.1229315291458,5.6886067e-5
false,0.1,0.8,8,10090.885793066283,593.9394739773354,5.928561e-5
true,0.05,0.8,1,6481.119989870377,232.3390032953874,5.8283226e-5
true,0.05,0.8,2,9542.510944893911,431.31499919473526,5.8069403e-5
true,0.05,0.8,3,12491.035249660541,648.3057121199992,5.7780529e-5
true,0.05,0.8,4,9459.257525258477,454.872202234434,5.6827407e-5
true,0.05,0.8,5,9554.234481342348,461.6946394052849,5.8808374e-5
true,0.05,0.8,6,9622.749875199563,497.57701869111145,5.8216234999999996e-5
true,0.05,0.8,7,8851.559447868352,359.681137300321,5.7282893e-5
true,0.05,0.8,8,10574.462502212313,595.5638834774066,5.7768109e-5
false,0.05,0.8,1,6360.928552366009,215.18539259469674,4.5595001e-5
false,0.05,0.8,2,9250.464334249264,323.45286563864533,5.1543223e-5
false,0.05,0.8,3,11680.823583975558,395.0062853919374,5.1894368e-5
false,0.05,0.8,4,9130.148546004864,309.0528010819356,5.8737143e-5
false,0.05,0.8,5,9208.59969231853,307.997547123423,5.85208e-5
false,0.05,0.8,6,9208.953335427632,369.96446144483866,5.6975138e-5
false,0.05,0.8,7,8678.68781727484,279.48151146274967,5.8894124e-5
false,0.05,0.8,8,9819.642083941504,362.9787344628061,5.7154231e-5
true,0.03,0.8,1,6425.765490656357,177.42116204222953,5.8973335e-5
true,0.03,0.8,2,9420.620799802116,297.73431146654116,5.9346551e-5
true,0.03,0.8,3,12358.608592179879,486.71908351303125,5.9883567999999996e-5
true,0.03,0.8,4,9356.195829905815,336.6406724935483,6.0442047e-5
true,0.03,0.8,5,9461.51474704377,341.1372438521972,6.0070961e-5
true,0.03,0.8,6,9528.155173827034,389.58646960936613,5.9123747999999996e-5
true,0.03,0.8,7,8777.733894136223,251.78222155617485,6.0017600999999995e-5
true,0.03,0.8,8,10480.400644130705,460.01781913097705,5.8228505e-5
false,0.03,0.8,1,6339.960003960648,158.76814825249198,6.2600846e-5
false,0.03,0.8,2,9178.517721570619,250.7720615153484,5.9477833e-5
false,0.03,0.8,3,11584.784874766578,313.62500013667386,5.8703692e-5
false,0.03,0.8,4,9085.535418207975,239.09711488704994,5.997216e-5
false,0.03,0.8,5,9160.237172447429,246.69833739492347,5.8867374999999996e-5
false,0.03,0.8,6,9145.91747315684,298.8430100666145,5.9432352e-5
false,0.03,0.8,7,8611.309969549538,224.2711527931838,5.7996312e-5
false,0.03,0.8,8,9760.40910193237,258.81945154968787,5.8143304e-5
true,0.1,0.9,1,6844.570918226392,752.3667071506515,6.3543699e-5
true,0.1,0.9,2,10383.398394409536,2348.117566582129,5.9372342e-5
true,0.1,0.9,3,13797.256886832476,2288.462462690009,5.997886e-5
true,0.1,0.9,4,10360.789266732476,1921.7690170863013,6.0341854e-5
true,0.1,0.9,5,10442.703879593992,1682.6694215525818,5.9395082e-5
true,0.1,0.9,6,10603.109192128417,1529.5892599627805,5.7857151000000005e-5
true,0.1,0.9,7,9659.062337598412,1344.4215035369791,5.9132098000000004e-5
true,0.1,0.9,8,11451.40676557756,1461.7488780348506,5.9337590000000005e-5
false,0.1,0.9,1,6637.415228819523,604.5057164633323,5.8969486e-5
false,0.1,0.9,2,9810.522783331955,892.2487755399264,5.8144405000000006e-5
false,0.1,0.9,3,12485.617026297032,1383.1336429917073,5.9034407e-5
false,0.1,0.9,4,9695.797328287077,1038.0654929486668,6.1830206e-5
false,0.1,0.9,5,9795.76417722335,1070.9285870977956,5.8591901e-5
false,0.1,0.9,6,9847.661927879008,1037.0670433897483,6.0705689999999996e-5
false,0.1,0.9,7,9199.758369868487,975.4365995505475,5.8422707999999994e-5
false,0.1,0.9,8,10450.065592825606,1237.8050686281017,5.3327977999999995e-5
true,0.05,0.9,1,6543.291726329644,348.9451086844691,5.5738982e-5
true,0.05,0.9,2,9658.215743827357,561.6464346644377,5.1078487e-5
true,0.05,0.9,3,12689.148825982613,864.742645582394,5.3617541999999994e-5
true,0.05,0.9,4,9543.354805872508,578.4399996426894,5.6855166e-5
true,0.05,0.9,5,9707.339422363346,629.0302053301291,5.9870448e-5
true,0.05,0.9,6,9772.100011311066,686.2821147143484,5.8055003e-5
true,0.05,0.9,7,8978.018070517064,501.5185351085353,5.9541674e-5
true,0.05,0.9,8,10699.065051352376,703.2690469840727,5.8400038e-5
false,0.05,0.9,1,6422.1115662348575,310.46343749358437,5.9914608e-5
false,0.05,0.9,2,9348.009026922544,476.5269696134723,5.7559486e-5
false,0.05,0.9,3,11815.096150327492,589.7434811668863,5.9902298e-5
false,0.05,0.9,4,9221.69953265903,461.01768838495315,5.9469823e-5
false,0.05,0.9,5,9309.890850313035,471.3661221106197,5.9313860000000005e-5
false,0.05,0.9,6,9319.742682080821,498.8193489471112,5.9333120000000004e-5
false,0.05,0.9,7,8752.09991967089,428.61604509809047,5.7908852e-5
false,0.05,0.9,8,9948.243506476128,490.94397399844695,5.9674915e-5
true,0.03,0.9,1,6456.772482561018,236.8527640437451,5.9612544000000006e-5
true,0.03,0.9,2,9463.719631703187,386.55153874676097,6.0147902000000006e-5
true,0.03,0.9,3,12465.411791777078,616.8301495079933,5.929469e-5
true,0.03,0.9,4,9422.658227301252,402.40660110662765,5.9712436e-5
