leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,simple_cost,simple_MC_std,simple_solve_time_s
8,25.0,320,false,0.2,32,1,6630.757994225318,115.03420442551743,0.0009326241199999999
8,25.0,320,false,0.2,32,2,9589.623283305697,181.3301375079597,0.000879626799
8,25.0,320,false,0.2,32,3,13601.844711096572,628.421632281473,0.000877751696
8,25.0,320,false,0.2,32,4,9577.567021591567,247.41740403596128,0.000852826785
8,25.0,320,false,0.2,32,5,9940.959884660982,346.6695086836025,0.000875381856
8,25.0,320,false,0.2,32,6,10559.56533816486,566.8014809093964,0.000870133851
8,25.0,320,false,0.2,32,7,9079.436506084425,147.8888695351981,0.000875312016
8,25.0,320,false,0.2,32,8,11515.996617064728,587.5064737736939,0.00087810987
8,75.0,320,true,0.2,32,1,6769.537606684106,112.27281871005488,0.00094219259
8,75.0,320,true,0.2,32,2,9971.286224983758,311.50029394142524,0.000863264815
8,75.0,320,true,0.2,32,3,15123.860247313212,668.9157748109985,0.000884975496
8,75.0,320,true,0.2,32,4,10408.02168025511,514.049650340155,0.000883537959
8,75.0,320,true,0.2,32,5,11199.415749977885,577.3438836385589,0.000860286218
8,75.0,320,true,0.2,32,6,11896.410528126482,641.3412097722276,0.000883568688
8,75.0,320,true,0.2,32,7,9331.63414604675,155.179018503717,0.000886422464
8,75.0,320,true,0.2,32,8,12841.109558713617,647.6738136619001,0.000862125151
2,25.0,80,false,0.2,32,1,3280.5719585035154,40.13416667155953,0.000998008067
2,25.0,80,false,0.2,32,2,4854.871510379782,76.7885543578044,0.0009485020589999999
2,25.0,80,false,0.2,32,3,6288.876250057165,140.6291316371626,0.000979766169
2,25.0,80,false,0.2,32,4,4813.784598902541,83.1200108884346,0.000944246326
2,25.0,80,false,0.2,32,5,4858.779875292653,89.98686988733782,0.000944027073
2,25.0,80,false,0.2,32,6,4888.382530764325,102.43367942795304,0.000944197445
2,25.0,80,false,0.2,32,7,4527.619525171082,62.99028144364245,0.000971337915
2,25.0,80,false,0.2,32,8,5289.685246805477,128.0821140452017,0.000940379898
2,75.0,80,true,0.2,32,1,3358.6157099958677,42.24462048016438,0.0010371468450000002
2,75.0,80,true,0.2,32,2,5070.764819482557,139.91926794064716,0.0009460906380000001
2,75.0,80,true,0.2,32,3,7021.870011073184,312.51076387677324,0.00093819852
2,75.0,80,true,0.2,32,4,5055.4176226373675,172.24218832913039,0.0009379306670000001
2,75.0,80,true,0.2,32,5,5140.250788527634,187.2149156674875,0.000970948449
2,75.0,80,true,0.2,32,6,5223.090592505587,224.881460277487,0.000939842211
2,75.0,80,true,0.2,32,7,4670.399245385352,64.87412516708008,0.000940797692
2,75.0,80,true,0.2,32,8,5984.9029020367425,327.7084264933559,0.0009395189569999999
4,25.0,320,false,0.2,32,1,6335.148113932305,59.802451934185214,0.000843988345
4,25.0,320,false,0.2,32,2,9281.737625685504,143.55459552320696,0.00086930147
4,25.0,320,false,0.2,32,3,12052.378132477339,293.3894959656039,0.000870706488
4,25.0,320,false,0.2,32,4,9184.785088108174,165.55184402424644,0.00087563299
4,25.0,320,false,0.2,32,5,9291.382664224362,177.8205933275465,0.0008478320820000001
4,25.0,320,false,0.2,32,6,9382.619472718206,197.80841655748526,0.000868789914
4,25.0,320,false,0.2,32,7,8728.917984362077,140.0420172526721,0.000874198832
4,25.0,320,false,0.2,32,8,10149.903378666535,285.73962497738785,0.000871161804
4,75.0,320,true,0.2,32,1,6441.280821399065,61.401738302164496,0.0009167591320000001
4,75.0,320,true,0.2,32,2,9555.582862410696,207.14700086545562,0.000873952398
4,75.0,320,true,0.2,32,3,13258.381893297732,464.28937274767367,0.000849551293
4,75.0,320,true,0.2,32,4,9547.381990673503,283.12601949264626,0.0008767837539999999
4,75.0,320,true,0.2,32,5,9804.225799528635,336.1259079733335,0.000876329928
4,75.0,320,true,0.2,32,6,10192.830604451352,394.2246771964374,0.000852305609
4,75.0,320,true,0.2,32,7,8911.792218591507,131.33001673340706,0.000878177261
4,75.0,320,true,0.2,32,8,11240.66033274403,447.743372618291,0.000879076232
2,75.0,1280,true,0.2,32,1,12964.23072302622,81.73886840530547,0.000952378057
2,75.0,1280,true,0.2,32,2,18430.826032357203,242.3580856655538,0.000936869004
2,75.0,1280,true,0.2,32,3,22944.8463733517,344.2531160501636,0.000939346895
2,75.0,1280,true,0.2,32,4,18236.827509267623,358.412385922657,0.000970741486
2,75.0,1280,true,0.2,32,5,18415.565043378072,258.19206425895027,0.000937552873
2,75.0,1280,true,0.2,32,6,18305.56757280209,478.7344908896017,0.000940526929
2,75.0,1280,true,0.2,32,7,16891.01753141109,241.57439565288468,0.00093901603
2,75.0,1280,true,0.2,32,8,19467.56191966646,357.88624011766746,0.0009353140239999999
2,25.0,1280,false,0.2,32,1,12881.405317570261,80.84068955221466,0.0009392615640000001
2,25.0,1280,false,0.2,32,2,18211.041889376596,222.5804620431516,0.000947564397
2,25.0,1280,false,0.2,32,3,22142.466784202712,199.01669840516072,0.000974358282
2,25.0,1280,false,0.2,32,4,17988.581433778098,322.8818740410901,0.0009400938629999999
2,25.0,1280,false,0.2,32,5,18121.324258685796,176.62789835052556,0.0009420701580000001
2,25.0,1280,false,0.2,32,6,18024.831885782423,400.71737635985323,0.00094137425
2,25.0,1280,false,0.2,32,7,16736.457136649547,218.43950531342912,0.0009756759780000001
2,25.0,1280,false,0.2,32,8,18730.351222802325,189.22136951281126,0.000941989858
1,25.0,320,false,0.2,32,1,6276.7943731289715,83.17275647967577,0.000847293336
1,25.0,320,false,0.2,32,2,9047.607833125661,152.42479794021062,0.000870203822
1,25.0,320,false,0.2,32,3,11242.598691938507,157.88293069946678,0.000874224412
1,25.0,320,false,0.2,32,4,8951.418573173713,161.6961446216294,0.000878048549
1,25.0,320,false,0.2,32,5,9030.789411964337,151.48797416865767,0.000851160074
1,25.0,320,false,0.2,32,6,9005.762805541268,207.02540503885564,0.000873077488
1,25.0,320,false,0.2,32,7,8507.536147687586,156.86294285268661,0.0008729771659999999
1,25.0,320,false,0.2,32,8,9521.68039658164,177.96717682880896,0.000853540533
1,75.0,320,true,0.2,32,1,6340.451647526025,78.7510221880532,0.0008509734719999999
1,75.0,320,true,0.2,32,2,9210.76587203697,175.36620123130544,0.0008790414009999999
1,75.0,320,true,0.2,32,3,11700.486336460104,251.02850464289443,0.000854153771
1,75.0,320,true,0.2,32,4,9129.975712922353,189.6076381344471,0.00085242927
1,75.0,320,true,0.2,32,5,9212.874903727876,178.84480218610824,0.000880762493
1,75.0,320,true,0.2,32,6,9208.581277841738,244.11081502389257,0.000855229605
1,75.0,320,true,0.2,32,7,8643.264497070564,154.49629434505968,0.000879843182
1,75.0,320,true,0.2,32,8,9902.177310827517,269.93075534846304,0.000881395551
2,75.0,320,true,0.1,32,1,6163.45528640582,32.42421083081847,0.0009036559490000001
2,75.0,320,true,0.1,32,2,8918.762707466607,152.56412773821916,0.000905797775
2,75.0,320,true,0.1,32,3,11643.74351572701,179.1546208489143,0.000938814678
2,75.0,320,true,0.1,32,4,8844.952526814679,169.90752318956436,0.000904281316
2,75.0,320,true,0.1,32,5,9006.682361989077,134.93405879922867,0.000906063529
2,75.0,320,true,0.1,32,6,9010.699014540192,254.48352515338584,0.000907626379
2,75.0,320,true,0.1,32,7,8365.51204709027,142.98552714464532,0.000896901965
2,75.0,320,true,0.1,32,8,9911.77442647104,215.3898241463347,0.000921967018
2,25.0,320,false,0.1,32,1,6124.406673226629,33.961697360675586,0.000915562248
2,25.0,320,false,0.1,32,2,8809.82384567335,137.82916752515249,0.000916144635
2,25.0,320,false,0.1,32,3,11000.013048824783,95.26668852892207,0.0009190628520000001
2,25.0,320,false,0.1,32,4,8707.127547422037,149.5613419359957,0.000943605327
2,25.0,320,false,0.1,32,5,8827.0911664157,100.58814823223383,0.000914391954
2,25.0,320,false,0.1,32,6,8782.524599860355,215.49595884189034,0.000918219631
2,25.0,320,false,0.1,32,7,8288.94894121356,143.25886419292578,0.000915767751
2,25.0,320,false,0.1,32,8,9383.151984511993,161.60418377572688,0.000949549502
0,25.0,320,false,0.2,32,1,6219.5256463945625,98.22762669857262,0.00087412725
0,25.0,320,false,0.2,32,2,8929.400624511743,177.12497521943533,0.000875924323
0,25.0,320,false,0.2,32,3,10962.8047388961,165.34540042285937,0.000874762103
0,25.0,320,false,0.2,32,4,8859.635939510428,182.1397090153494,0.000858615443
0,25.0,320,false,0.2,32,5,8934.313071077984,167.35615744999004,0.0008748274940000001
0,25.0,320,false,0.2,32,6,8867.308856158732,179.7770427377193,0.000878707463
0,25.0,320,false,0.2,32,7,8371.112388604115,187.6075604555469,0.00085839112
0,25.0,320,false,0.2,32,8,9312.961466530809,173.45383288076783,0.000855614666
0,75.0,320,true,0.2,32,1,6261.847037451698,91.16280519918918,0.000851197825
0,75.0,320,true,0.2,32,2,9013.52454955334,180.38305356283124,0.0008821317
0,75.0,320,true,0.2,32,3,11082.22573971574,159.19381085339523,0.000852646273
0,75.0,320,true,0.2,32,4,8947.492091003583,195.09380253884532,0.000875804506
0,75.0,320,true,0.2,32,5,9017.83935370377,171.39445710069285,0.00087610627
0,75.0,320,true,0.2,32,6,8964.334906170796,183.33977651365538,0.000852589038
0,75.0,320,true,0.2,32,7,8480.210761894206,192.60710932811534,0.0008757308059999999
0,75.0,320,true,0.2,32,8,9406.98101015992,176.39245490145046,0.000852567667
2,75.0,320,true,0.3,32,1,6630.287552288543,99.62925411879564,0.000889077068
2,75.0,320,true,0.3,32,2,9771.73915882467,229.78999052082762,0.000908884198
2,75.0,320,true,0.3,32,3,12838.523970462054,473.5142165571004,0.000877319865
2,75.0,320,true,0.3,32,4,9723.415483717741,267.6115844723837,0.000876170711
2,75.0,320,true,0.3,32,5,9804.56253376611,280.28281938980433,0.0008758159770000001
2,75.0,320,true,0.3,32,6,9842.192239557384,354.87359149218037,0.0009012037830000001
2,75.0,320,true,0.3,32,7,9137.01185663608,130.4609556706092,0.0008757967060000001
2,75.0,320,true,0.3,32,8,10822.035563568474,473.18726455261645,0.000879878767
2,25.0,320,false,0.3,32,1,6465.9068625965465,93.84968137697126,0.000890075878
2,25.0,320,false,0.3,32,2,9445.744203876046,148.6419916500827,0.0008892976740000001
